Ref,Val,Package,PosX,PosY,Rot,Side
"FID1","Fiducial","Fiducial_1mm_Mask3mm",70.000000,95.000000,0.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask3mm",5.000000,5.000000,0.000000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask3mm",5.000000,95.000000,0.000000,bottom
"Q1","BC846","SOT-23",27.500000,90.950000,0.000000,bottom
"Q2","BC846","SOT-23",27.500000,87.250000,0.000000,bottom
"Q3","BC846","SOT-23",27.500000,83.550000,0.000000,bottom
"Q4","BC846","SOT-23",27.500000,79.850000,0.000000,bottom
"Q5","BC846","SOT-23",27.500000,76.150000,0.000000,bottom
"Q6","BC846","SOT-23",27.500000,72.450000,0.000000,bottom
"Q7","BC846","SOT-23",27.500000,68.750000,0.000000,bottom
"Q8","BC846","SOT-23",27.500000,65.050000,0.000000,bottom
"Q9","BC846","SOT-23",27.500000,61.350000,0.000000,bottom
"Q10","BC846","SOT-23",27.500000,57.650000,0.000000,bottom
"Q11","BC846","SOT-23",27.600000,43.650000,0.000000,bottom
"Q12","BC846","SOT-23",27.600000,39.950000,0.000000,bottom
"Q13","BC846","SOT-23",27.600000,36.250000,0.000000,bottom
"Q14","BC846","SOT-23",27.600000,32.550000,0.000000,bottom
"Q15","BC846","SOT-23",27.600000,28.850000,0.000000,bottom
"Q16","BC846","SOT-23",27.600000,25.150000,0.000000,bottom
"Q17","BC846","SOT-23",27.600000,21.450000,0.000000,bottom
"Q18","BC846","SOT-23",27.600000,17.750000,0.000000,bottom
"Q19","BC846","SOT-23",27.600000,14.050000,0.000000,bottom
"Q20","BC846","SOT-23",27.600000,10.350000,0.000000,bottom
"Q21","2N7002","SOT-23",40.400000,91.900000,180.000000,bottom
"Q22","2N7002","SOT-23",40.400000,84.500000,180.000000,bottom
"Q23","2N7002","SOT-23",40.400000,76.900000,180.000000,bottom
"Q24","2N7002","SOT-23",40.400000,69.400000,180.000000,bottom
"Q25","2N7002","SOT-23",40.400000,61.950000,180.000000,bottom
"Q26","2N7002","SOT-23",40.500000,44.400000,180.000000,bottom
"Q27","2N7002","SOT-23",40.500000,36.950000,180.000000,bottom
"Q28","2N7002","SOT-23",40.500000,29.550000,180.000000,bottom
"Q29","2N7002","SOT-23",40.500000,22.150000,180.000000,bottom
"Q30","2N7002","SOT-23",40.500000,14.750000,180.000000,bottom
"Q31","BC856","SOT-23",31.800000,91.000000,180.000000,bottom
"Q32","BC856","SOT-23",31.800000,83.550000,180.000000,bottom
"Q33","BC856","SOT-23",31.800000,76.150000,180.000000,bottom
"Q34","BC856","SOT-23",31.800000,68.750000,180.000000,bottom
"Q35","BC856","SOT-23",31.800000,61.350000,180.000000,bottom
"Q36","BC856","SOT-23",31.900000,43.650000,180.000000,bottom
"Q37","BC856","SOT-23",31.900000,36.150000,180.000000,bottom
"Q38","BC856","SOT-23",31.900000,28.750000,180.000000,bottom
"Q39","BC856","SOT-23",31.900000,21.350000,180.000000,bottom
"Q40","BC856","SOT-23",31.900000,13.950000,180.000000,bottom
"Q41","2N7002","SOT-23",40.400000,88.250000,180.000000,bottom
"Q42","2N7002","SOT-23",40.400000,80.700000,180.000000,bottom
"Q43","2N7002","SOT-23",40.400000,73.150000,180.000000,bottom
"Q44","2N7002","SOT-23",40.400000,65.650000,180.000000,bottom
"Q45","2N7002","SOT-23",40.400000,58.250000,180.000000,bottom
"Q46","2N7002","SOT-23",40.500000,40.650000,180.000000,bottom
"Q47","2N7002","SOT-23",40.500000,33.250000,180.000000,bottom
"Q48","2N7002","SOT-23",40.500000,25.850000,180.000000,bottom
"Q49","2N7002","SOT-23",40.500000,18.450000,180.000000,bottom
"Q50","2N7002","SOT-23",40.500000,11.050000,180.000000,bottom
"Q51","BC856","SOT-23",31.800000,87.250000,180.000000,bottom
"Q52","BC856","SOT-23",31.800000,79.850000,180.000000,bottom
"Q53","BC856","SOT-23",31.800000,72.450000,180.000000,bottom
"Q54","BC856","SOT-23",31.800000,65.050000,180.000000,bottom
"Q55","BC856","SOT-23",31.800000,57.650000,180.000000,bottom
"Q56","BC856","SOT-23",31.900000,39.900000,180.000000,bottom
"Q57","BC856","SOT-23",31.900000,32.450000,180.000000,bottom
"Q58","BC856","SOT-23",31.900000,25.050000,180.000000,bottom
"Q59","BC856","SOT-23",31.900000,17.650000,180.000000,bottom
"Q60","BC856","SOT-23",31.900000,10.250000,180.000000,bottom
"R1","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,90.000000,180.000000,bottom
"R2","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,86.300000,180.000000,bottom
"R3","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,82.600000,180.000000,bottom
"R4","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,78.900000,180.000000,bottom
"R5","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,75.200000,180.000000,bottom
"R6","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,71.500000,180.000000,bottom
"R7","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,67.800000,180.000000,bottom
"R8","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,64.100000,180.000000,bottom
"R9","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,60.400000,180.000000,bottom
"R10","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,56.700000,180.000000,bottom
"R11","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,42.700000,180.000000,bottom
"R12","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,39.000000,180.000000,bottom
"R13","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,35.300000,180.000000,bottom
"R14","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,91.900000,180.000000,bottom
"R15","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,88.200000,180.000000,bottom
"R16","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,84.500000,180.000000,bottom
"R17","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,80.800000,180.000000,bottom
"R18","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,77.100000,180.000000,bottom
"R19","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,73.400000,180.000000,bottom
"R20","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,69.700000,180.000000,bottom
"R21","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,66.000000,180.000000,bottom
"R22","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,62.300000,180.000000,bottom
"R23","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.125000,58.600000,180.000000,bottom
"R24","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,44.600000,180.000000,bottom
"R25","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,40.900000,180.000000,bottom
"R26","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,37.200000,180.000000,bottom
"R27","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,31.600000,180.000000,bottom
"R28","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,27.900000,180.000000,bottom
"R29","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,24.200000,180.000000,bottom
"R30","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,20.500000,180.000000,bottom
"R31","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,16.800000,180.000000,bottom
"R32","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,13.100000,180.000000,bottom
"R33","4K7","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,9.400000,180.000000,bottom
"R34","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,33.500000,180.000000,bottom
"R35","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,29.800000,180.000000,bottom
"R36","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,26.100000,180.000000,bottom
"R37","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,22.400000,180.000000,bottom
"R38","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,18.700000,180.000000,bottom
"R39","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,15.000000,180.000000,bottom
"R40","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.225000,11.300000,180.000000,bottom
"R41","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",63.300000,62.069000,270.000000,bottom
"R52","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.000000,91.925000,0.000000,bottom
"R53","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,84.400000,0.000000,bottom
"R54","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,77.000000,0.000000,bottom
"R55","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,69.600000,0.000000,bottom
"R56","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.975000,62.100000,0.000000,bottom
"R57","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,44.500000,0.000000,bottom
"R58","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,37.000000,0.000000,bottom
"R59","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,29.600000,0.000000,bottom
"R60","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,22.200000,0.000000,bottom
"R61","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,14.800000,0.000000,bottom
"R62","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,91.025000,90.000000,bottom
